instance_id,sol_time,status,tour,objective,gap
TSP167,14.321576595306396,2,0-8-13-7-3-12-1-11-5-9-2-6-10-4-14-0,9855.0,0.0
TSP147,0.1908571720123291,2,0-2-1-7-4-5-6-3-0,4961.0,0.0
TSP145,0.019662857055664062,2,0-2-4-1-5-3-0,4407.0,0.0
TSP138,1.2058374881744385,2,0-9-1-2-6-3-10-8-5-4-7-11-0,11075.0,0.0
TSP69,0.1033477783203125,2,0-7-6-5-3-4-2-1-0,406.0,0.0
TSP20,0.6545681953430176,2,0-3-1-7-10-5-6-8-4-9-2-0,698.0,0.0
TSP154,7.463055372238159,2,0-8-3-12-14-2-4-5-7-9-13-10-6-11-1-0,4594.0,0.0
TSP128,24.211854934692383,2,0-5-14-13-6-8-9-10-12-11-7-3-4-2-1-0,15749.0,0.0
TSP12,44.56769108772278,2,0-7-8-9-10-11-12-13-14-15-6-5-4-3-2-1-0,26870.0,0.0
TSP107,0.05043148994445801,2,0-2-6-4-1-5-3-0,14443.0,0.0
TSP84,0.40654635429382324,2,0-6-8-5-2-7-4-1-3-9-0,5214.0,0.0
TSP153,40.105247020721436,2,0-2-9-11-6-3-1-13-8-5-12-4-10-7-0,7091.0,0.0
TSP14,0.011085271835327148,2,0-3-1-2-4-0,487.0,0.0
TSP86,1.23295259475708,2,0-6-8-2-3-10-5-9-7-11-4-1-0,6141.0,0.0
TSP166,46.63358783721924,2,0-3-5-1-7-6-4-11-9-12-2-13-10-8-0,9346.0,0.0
TSP148,0.41957783699035645,2,0-6-8-3-1-5-7-2-4-0,5710.0,0.0
TSP94,0.09727644920349121,2,0-1-6-2-4-5-3-0,8011.0,0.0
TSP9,2.7763211727142334,2,0-1-2-3-4-5-6-7-8-12-11-10-9-0,27007.0,0.0
TSP46,0.6018798351287842,2,0-2-4-9-10-6-7-8-5-3-1-0,6608.0,0.0
TSP59,0.8498599529266357,2,0-1-2-6-7-9-8-10-3-4-5-0,428.0,0.0
TSP185,0.06719160079956055,2,0-6-5-2-3-4-1-0,157.0,0.0
TSP163,0.867006778717041,2,0-6-9-4-10-5-7-8-1-2-3-0,9284.0,0.0
TSP159,0.10048818588256836,2,0-3-6-1-4-5-2-0,6368.0,0.0
TSP105,0.016521453857421875,2,0-1-3-2-4-0,4639.0,0.0
TSP93,0.04243040084838867,2,0-4-1-5-3-2-0,8408.0,0.0
TSP90,97.26444816589355,2,0-8-1-15-11-7-12-6-14-4-9-2-5-13-3-10-0,6616.0,0.0
TSP162,0.7662184238433838,2,0-1-6-5-3-4-8-9-7-2-0,9964.0,0.0
TSP111,1.6054046154022217,2,0-10-5-6-8-4-9-1-3-7-2-0,16020.0,0.0
TSP137,0.8525216579437256,2,0-2-6-8-10-1-5-7-4-9-3-0,9744.0,0.0
TSP146,0.07025575637817383,2,0-4-2-6-5-3-1-0,5852.0,0.0
TSP64,69.83212494850159,2,0-1-2-3-4-10-9-7-6-5-8-15-12-11-13-14-0,550.0,0.0
TSP100,2.566513776779175,2,0-7-1-2-5-4-12-8-3-10-11-6-9-0,9834.0,0.0
TSP120,0.1086878776550293,2,0-1-4-6-5-3-2-0,13843.0,0.0
TSP35,6.242848634719849,2,0-2-3-4-9-8-10-11-12-6-7-5-1-0,44370.0,0.0
TSP61,3.1003541946411133,2,0-2-9-10-11-12-7-8-6-4-3-5-1-0,453.0,0.0
TSP28,0.03906440734863281,2,0-3-4-5-1-2-0,23613.0,0.0
TSP175,0.5143263339996338,2,0-1-3-5-8-7-9-6-4-2-0,1116.0,0.0
TSP18,0.25995659828186035,2,0-2-7-3-6-5-8-1-4-0,593.0,0.0
TSP34,1.9316504001617432,2,0-2-4-5-6-3-11-9-10-8-7-1-0,48336.0,0.0
TSP152,2.2761287689208984,2,0-9-10-11-4-8-2-7-3-5-6-12-1-0,6137.0,0.0
TSP23,15.212085962295532,2,0-1-12-6-9-10-4-11-3-2-5-8-13-7-0,647.0,0.0
TSP71,0.3930807113647461,2,0-1-6-9-5-4-8-3-2-7-0,1085.0,0.0
TSP102,20.92438054084778,2,0-1-12-3-7-9-2-8-13-10-6-14-5-4-11-0,10400.0,0.0
TSP98,1.2273585796356201,2,0-1-4-10-5-3-2-6-7-9-8-0,9721.0,0.0
TSP184,0.048938751220703125,2,0-2-5-4-3-1-0,108.0,0.0
TSP87,4.778016805648804,2,0-10-11-7-12-9-3-6-4-5-1-8-2-0,6421.0,0.0
TSP129,134.10568499565125,2,0-3-2-1-6-12-7-4-5-11-13-8-10-14-15-9-0,14913.0,0.0
TSP37,17.313774585723877,2,0-4-5-6-7-10-8-9-11-12-13-14-3-2-1-0,53051.0,0.0
TSP144,0.017138957977294922,2,0-4-2-3-1-0,3989.0,0.0
TSP10,7.052915096282959,2,0-8-7-9-10-11-12-13-6-5-3-4-1-2-0,24178.0,0.0
TSP19,0.7444655895233154,2,0-3-4-7-6-8-9-5-2-1-0,726.0,0.0
TSP72,0.5985012054443359,2,0-5-4-10-9-8-7-6-3-2-1-0,1101.0,0.0
TSP95,0.16332197189331055,2,0-5-6-2-7-3-1-4-0,10328.0,0.0
TSP176,0.7911796569824219,2,0-2-5-4-9-10-8-6-7-3-1-0,1105.0,0.0
TSP74,4.448000907897949,2,0-2-11-1-7-12-6-3-4-5-10-9-8-0,895.0,0.0
TSP126,1.791440725326538,2,0-2-3-5-9-8-11-10-12-7-6-4-1-0,12258.0,0.0
TSP135,0.24823999404907227,2,0-1-2-4-5-8-6-3-7-0,8626.0,0.0
TSP141,33.50153160095215,2,0-10-3-4-14-6-9-12-5-7-11-13-2-1-8-0,10849.0,0.0
TSP25,74.83969712257385,2,0-2-1-6-4-5-11-10-15-12-14-9-13-7-8-3-0,862.0,0.0
TSP139,4.565296411514282,2,0-5-11-10-8-9-3-6-12-2-4-1-7-0,9685.0,0.0
TSP40,0.016068220138549805,2,0-1-3-4-2-0,4057.0,0.0
TSP130,56.04750299453735,2,0-1-2-3-9-8-7-4-5-6-10-14-16-15-13-12-11-0,15170.0,0.0
TSP156,12.921025514602661,2,0-10-15-12-3-7-6-8-11-16-13-5-4-2-9-14-1-0,6947.0,0.0
TSP194,58.89711284637451,2,0-3-8-14-12-15-13-9-5-2-10-6-7-11-1-4-0,228.0,0.0
TSP3,0.12176156044006348,2,0-1-2-5-6-4-3-0,23007.0,0.0
TSP112,2.688734769821167,2,0-9-4-2-11-10-5-6-3-7-8-1-0,10357.0,0.0
TSP49,11.711738109588623,2,0-3-4-5-6-7-8-9-11-12-13-10-2-1-0,7816.0,0.0
TSP190,2.5911335945129395,2,0-4-6-3-9-2-7-8-11-10-5-1-0,241.0,0.0
TSP29,0.0649268627166748,2,0-6-5-4-3-2-1-0,35488.0,0.0
TSP83,0.23354864120483398,2,0-7-2-5-3-4-1-6-8-0,4830.0,0.0
TSP70,0.11074662208557129,2,0-2-8-5-6-3-4-1-7-0,1047.0,0.0
TSP6,0.43137598037719727,2,0-6-7-8-9-4-5-3-2-1-0,21156.0,0.0
TSP22,12.938456058502197,2,0-8-9-3-7-12-4-5-6-11-10-2-1-0,845.0,0.0
TSP63,3.662959575653076,2,0-3-2-1-6-7-8-13-11-12-9-10-14-5-4-0,370.0,0.0
TSP165,1.651808261871338,2,0-3-5-11-2-12-8-1-7-9-10-4-6-0,9719.0,0.0
TSP68,0.06566452980041504,2,0-4-6-5-2-1-3-0,663.0,0.0
TSP191,1.2129147052764893,2,0-8-7-1-5-11-12-4-3-10-6-2-9-0,296.0,0.0
TSP15,0.03934907913208008,2,0-3-4-5-1-2-0,596.0,0.0
TSP186,0.10821962356567383,2,0-1-5-3-7-2-6-4-0,206.0,0.0
TSP161,0.2283480167388916,2,0-2-4-1-8-5-3-7-6-0,8624.0,0.0
TSP51,243.1908643245697,2,0-1-2-3-4-5-6-8-7-11-12-13-15-14-10-9-0,7835.0,0.0
TSP109,0.24361467361450195,2,0-8-4-7-1-2-3-6-5-0,9948.0,0.0
TSP110,0.6816384792327881,2,0-2-3-7-9-8-4-6-1-5-0,14738.0,0.0
TSP2,0.03214693069458008,2,0-2-3-4-5-1-0,24238.0,0.0
TSP142,422.2986454963684,2,0-4-8-15-6-5-11-12-14-1-9-7-10-2-3-13-0,9845.0,0.0
TSP101,8.698230028152466,2,0-9-2-12-3-5-4-10-13-1-11-8-7-6-0,9973.0,0.0
TSP89,150.33293676376343,2,0-3-13-6-12-9-4-5-7-14-11-1-8-2-10-0,5857.0,0.0
TSP73,1.7881436347961426,2,0-1-2-3-10-9-8-11-7-6-5-4-0,1169.0,0.0
TSP33,0.674177885055542,2,0-10-9-8-7-6-5-3-4-1-2-0,41722.0,0.0
TSP117,78.95237803459167,2,0-1-5-3-15-10-4-9-7-8-6-13-14-2-11-12-16-0,11789.0,0.0
TSP192,16.812333583831787,2,0-9-4-1-6-7-2-3-8-11-12-5-13-10-0,168.0,0.0
TSP36,49.66416382789612,2,0-2-1-10-13-12-11-3-4-5-7-8-9-6-0,39802.0,0.0
TSP21,2.4479143619537354,2,0-1-2-7-11-5-6-3-8-9-10-4-0,854.0,0.0
TSP178,1.7563667297363281,2,0-1-2-3-4-5-7-9-10-8-12-11-6-0,1436.0,0.0
TSP143,313.7972135543823,2,0-15-6-11-3-8-2-12-14-10-13-5-9-4-7-1-16-0,9824.0,0.0
TSP155,135.9604730606079,2,0-7-12-4-10-6-14-2-1-11-8-15-9-5-13-3-0,6449.0,0.0
TSP24,15.734840631484985,2,0-9-12-14-13-6-5-2-1-4-8-3-7-11-10-0,691.0,0.0
TSP75,22.11952519416809,2,0-11-10-9-7-8-6-4-5-3-13-2-1-12-0,1147.0,0.0
TSP131,0.013088226318359375,2,0-1-3-4-2-0,7670.0,0.0
TSP38,356.29437828063965,2,0-5-4-9-8-7-10-6-11-12-13-14-3-2-1-15-0,54236.0,0.0
TSP181,43.00649333000183,2,0-1-4-3-5-9-10-13-14-15-12-11-8-7-6-2-0,1172.0,0.0
TSP4,0.2954566478729248,2,0-5-4-6-7-3-2-1-0,23815.0,0.0
TSP31,0.310840368270874,2,0-1-2-4-3-7-8-6-5-0,45159.0,0.0
