instance_id,sol_time,status,tour,objective,gap
TSP167,15.344720602035522,2,0-8-13-7-3-12-1-11-5-9-2-6-10-4-14-0,9855.0,0.0
TSP147,0.17504358291625977,2,0-2-1-7-4-5-6-3-0,4961.0,0.0
TSP145,0.020502567291259766,2,0-2-4-1-5-3-0,4407.0,0.0
TSP138,1.2903740406036377,2,0-9-1-2-6-3-10-8-5-4-7-11-0,11075.0,0.0
TSP69,0.0768892765045166,2,0-7-6-5-3-4-2-1-0,406.0,0.0
TSP20,0.5505173206329346,2,0-3-1-7-10-5-6-8-4-9-2-0,698.0,0.0
TSP154,7.066589593887329,2,0-8-3-12-14-2-4-5-7-9-13-10-6-11-1-0,4594.0,0.0
TSP128,26.24272346496582,2,0-5-14-13-6-8-9-10-12-11-7-3-4-2-1-0,15749.0,0.0
TSP12,44.14122772216797,2,0-7-8-9-10-11-12-13-14-15-6-5-4-3-2-1-0,26870.0,0.0
TSP107,0.05848884582519531,2,0-2-6-4-1-5-3-0,14443.0,0.0
TSP84,0.3725740909576416,2,0-6-8-5-2-7-4-1-3-9-0,5214.0,0.0
TSP153,46.828667640686035,2,0-2-9-11-6-3-1-13-8-5-12-4-10-7-0,7091.0,0.0
TSP14,0.013651847839355469,2,0-3-1-2-4-0,487.0,0.0
TSP86,1.3906095027923584,2,0-6-8-2-3-10-5-9-7-11-4-1-0,6141.0,0.0
TSP166,40.37521958351135,2,0-3-5-1-7-6-4-11-9-12-2-13-10-8-0,9346.0,0.0
TSP148,0.2582564353942871,2,0-6-8-3-1-5-7-2-4-0,5710.0,0.0
TSP94,0.10825896263122559,2,0-1-6-2-4-5-3-0,8011.0,0.0
TSP9,1.9241340160369873,2,0-1-2-3-4-5-6-7-8-12-11-10-9-0,27007.0,0.0
TSP46,0.46302008628845215,2,0-2-4-9-10-6-7-8-5-3-1-0,6608.0,0.0
TSP59,0.619398832321167,2,0-1-2-6-7-9-8-10-3-4-5-0,428.0,0.0
TSP185,0.04821491241455078,2,0-6-5-2-3-4-1-0,157.0,0.0
TSP163,0.5747404098510742,2,0-6-9-4-10-5-7-8-1-2-3-0,9284.0,0.0
TSP159,0.042661190032958984,2,0-3-6-1-4-5-2-0,6368.0,0.0
TSP105,0.014495372772216797,2,0-1-3-2-4-0,4639.0,0.0
TSP93,0.020186901092529297,2,0-4-1-5-3-2-0,8408.0,0.0
TSP90,75.3127019405365,2,0-8-1-15-11-7-12-6-14-4-9-2-5-13-3-10-0,6616.0,0.0
TSP162,0.47952985763549805,2,0-1-6-5-3-4-8-9-7-2-0,9964.0,0.0
TSP111,1.0491065979003906,2,0-10-5-6-8-4-9-1-3-7-2-0,16020.0,0.0
TSP137,0.7178828716278076,2,0-2-6-8-10-1-5-7-4-9-3-0,9744.0,0.0
TSP146,0.05878758430480957,2,0-4-2-6-5-3-1-0,5852.0,0.0
TSP64,56.363866090774536,2,0-1-2-3-4-10-9-7-6-5-8-15-12-11-13-14-0,550.0,0.0
TSP100,2.1876590251922607,2,0-7-1-2-5-4-12-8-3-10-11-6-9-0,9834.0,0.0
TSP120,0.08764362335205078,2,0-1-4-6-5-3-2-0,13843.0,0.0
TSP35,5.267623424530029,2,0-2-3-4-9-8-10-11-12-6-7-5-1-0,44370.0,0.0
TSP61,2.6270077228546143,2,0-2-9-10-11-12-7-8-6-4-3-5-1-0,453.0,0.0
TSP28,0.03522515296936035,2,0-3-4-5-1-2-0,23613.0,0.0
TSP175,0.5009419918060303,2,0-1-3-5-8-7-9-6-4-2-0,1116.0,0.0
TSP18,0.25044727325439453,2,0-2-7-3-6-5-8-1-4-0,593.0,0.0
TSP34,1.4105563163757324,2,0-2-4-5-6-3-11-9-10-8-7-1-0,48336.0,0.0
TSP152,1.964463233947754,2,0-9-10-11-4-8-2-7-3-5-6-12-1-0,6137.0,0.0
TSP23,12.75487232208252,2,0-1-12-6-9-10-4-11-3-2-5-8-13-7-0,647.0,0.0
TSP71,0.25068044662475586,2,0-1-6-9-5-4-8-3-2-7-0,1085.0,0.0
TSP102,19.57662272453308,2,0-1-12-3-7-9-2-8-13-10-6-14-5-4-11-0,10400.0,0.0
TSP98,1.2264108657836914,2,0-1-4-10-5-3-2-6-7-9-8-0,9721.0,0.0
TSP184,0.021134138107299805,2,0-2-5-4-3-1-0,108.0,0.0
TSP87,4.407415390014648,2,0-10-11-7-12-9-3-6-4-5-1-8-2-0,6421.0,0.0
TSP129,129.0776128768921,2,0-3-2-1-6-12-7-4-5-11-13-8-10-14-15-9-0,14913.0,0.0
TSP37,17.31911039352417,2,0-4-5-6-7-10-8-9-11-12-13-14-3-2-1-0,53051.0,0.0
TSP144,0.013701438903808594,2,0-4-2-3-1-0,3989.0,0.0
TSP10,7.785438537597656,2,0-8-7-9-10-11-12-13-6-5-3-4-1-2-0,24178.0,0.0
TSP19,0.6388893127441406,2,0-3-4-7-6-8-9-5-2-1-0,726.0,0.0
TSP72,0.5489959716796875,2,0-5-4-10-9-8-7-6-3-2-1-0,1101.0,0.0
TSP95,0.11126303672790527,2,0-5-6-2-7-3-1-4-0,10328.0,0.0
TSP176,0.789160966873169,2,0-2-5-4-9-10-8-6-7-3-1-0,1105.0,0.0
TSP74,4.3647284507751465,2,0-2-11-1-7-12-6-3-4-5-10-9-8-0,895.0,0.0
TSP126,1.8294627666473389,2,0-2-3-5-9-8-11-10-12-7-6-4-1-0,12258.0,0.0
TSP135,0.18782901763916016,2,0-1-2-4-5-8-6-3-7-0,8626.0,0.0
TSP141,33.68885397911072,2,0-10-3-4-14-6-9-12-5-7-11-13-2-1-8-0,10849.0,0.0
TSP25,73.82237982749939,2,0-2-1-6-4-5-11-10-15-12-14-9-13-7-8-3-0,862.0,0.0
TSP139,4.495471000671387,2,0-5-11-10-8-9-3-6-12-2-4-1-7-0,9685.0,0.0
TSP40,0.013336658477783203,2,0-1-3-4-2-0,4057.0,0.0
TSP130,55.69947910308838,2,0-1-2-3-9-8-7-4-5-6-10-14-16-15-13-12-11-0,15170.0,0.0
TSP156,13.688191890716553,2,0-10-15-12-3-7-6-8-11-16-13-5-4-2-9-14-1-0,6947.0,0.0
TSP194,58.830466747283936,2,0-3-8-14-12-15-13-9-5-2-10-6-7-11-1-4-0,228.0,0.0
TSP3,0.07709813117980957,2,0-1-2-5-6-4-3-0,23007.0,0.0
