instance_id,sol_time,status,solution,objective,gap
UDMIS078EXT,0.022825002670288086,2,1010100000000011100001110,9.0,0.0
UDMIS017EXT,0.005830287933349609,2,0101010101010100111010101001101010101010101110011,26.0,0.0
UDMIS074EXT,0.0006716251373291016,2,100100101100001,6.0,0.0
UDMIS082EXT,0.0009617805480957031,2,100110100000110000101010100000101001,13.0,0.0
UDMIS105EXT,0.0025861263275146484,2,1010110100000000000110101010100000000001101000010001010110001000001000000010101010001000000100010101,30.0,0.0
UDMIS072EXT,0.0030782222747802734,2,101010101010000000001010101010100000000001000010101001010000010000010010000110000110000000001100101011000000000110010101,36.0,0.0
UDMIS088EXT,0.001260995864868164,2,1010101000000010100101000001101001000000001010011,16.0,0.0
UDMIS094EXT,0.0016047954559326172,2,1010101100000010010001010001000001010101010000011100101000000001011101,25.0,0.0
UDMIS095EXT,0.0017282962799072266,2,1111010000000010011100100000000000101010101000000011011010000001010111,25.0,0.0
UDMIS055EXT,0.0017242431640625,2,101010100000100101101000010011010010000010101000000001110101,22.0,0.0
UDMIS021EXT,0.0038366317749023438,2,010101010101010110010101101111110001110101001101010100101101,33.0,0.0
UDMIS070EXT,0.007943391799926758,2,101010010101000000000010100101010000100000101000001100011000000000010101010101000000000110100101010000000000001101001101,36.0,0.0
UDMIS025EXT,0.0036454200744628906,2,10101011010010111010100101010101101011010010101011010110100101011010100101110110,43.0,0.0
UDMIS010EXT,0.0010554790496826172,2,101010101011011010001010110010011001,18.0,0.0
UDMIS023EXT,0.001485586166381836,2,1111010010101110011110100110011001001010100011011010011010101001011011,38.0,0.0
UDMIS068EXT,0.0027887821197509766,2,1101101010000000001010101110000000000001001010110000000010000111001000000101101000000000001011010101,32.0,0.0
UDMIS054EXT,0.0013072490692138672,2,1010101000000001100010000101010010001000001100101,16.0,0.0
UDMIS085EXT,0.0011096000671386719,2,1011100001000001100100001000101010001011,15.0,0.0
UDMIS051EXT,0.0010979175567626953,2,1010010010001000110100010110000001101100,15.0,0.0
UDMIS037EXT,0.000545501708984375,2,101000010010110,6.0,0.0
UDMIS096EXT,0.0017542839050292969,2,1010010100010001100000110100000100110001010001100001100001000001001011,24.0,0.0
UDMIS102EXT,0.002657651901245117,2,110101010000000010110101001000000000101110000000000101010111000000001110100000000101011101,31.0,0.0
UDMIS022EXT,0.0013055801391601562,2,1010101110101110100010011001101010100100100100111101010011010101011101,37.0,0.0
