Solving ./instances/orig/UDMIS078EXT_N25_W1.0_R0.3.orig.json...Set parameter Username
Academic license - for non-commercial use only - expires 2024-10-11
(0.0 sec.) ✅
Solving ./instances/orig/UDMIS017EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS074EXT_N15_W1.0_R0.4.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS082EXT_N36_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS105EXT_N100_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS072EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS088EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS094EXT_N70_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS095EXT_N70_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS055EXT_N60_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS021EXT_N60_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS070EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS025EXT_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS010EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS023EXT_N70_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS068EXT_N100_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS054EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS085EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS051EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS037EXT_N15_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS096EXT_N70_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS102EXT_N90_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS022EXT_N70_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS034EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS011EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS066EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS029EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS069EXT_N100_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS003EXT_N15_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS083EXT_N36_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS004EXT_N25_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS065EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS090EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS005EXT_N25_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS108EXT_N120_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS014EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS045EXT_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS015EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS062EXT_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS018EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS071EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS059EXT_N70_W1.0_R0.1.orig.json...(0.0 sec.) ✅
