,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS4TG,001000001001011,True,1.0,-5.0,5.0
1,UDMIS4TG,001000001011011,True,1.0,-6.0,6.0
2,UDMIS4TG,001000001011111,False,1.0,9.0,
3,UDMIS4TG,001000001101010,True,1.0,-5.0,5.0
4,UDMIS4TG,001000010001001,True,1.0,-4.0,4.0
5,UDMIS4TG,001000010101011,True,1.0,-6.0,6.0
6,UDMIS4TG,001000010111101,False,1.0,25.0,
7,UDMIS4TG,001000100101101,False,1.0,10.0,
8,UDMIS4TG,001000101011101,True,1.0,-7.0,7.0
9,UDMIS4TG,001000101100111,False,1.0,25.0,
10,UDMIS4TG,001000101101011,True,1.0,-7.0,7.0
11,UDMIS4TG,001000110000101,True,1.0,-5.0,5.0
12,UDMIS4TG,001000110001101,True,2.0,-6.0,6.0
13,UDMIS4TG,001001000111010,False,1.0,10.0,
14,UDMIS4TG,001001010011011,True,1.0,-7.0,7.0
15,UDMIS4TG,001001010011111,False,1.0,8.0,
16,UDMIS4TG,001001110101101,False,1.0,24.0,
17,UDMIS4TG,001010001000001,True,1.0,-4.0,4.0
18,UDMIS4TG,001010001000101,True,1.0,-5.0,5.0
19,UDMIS4TG,001010001000111,False,1.0,10.0,
20,UDMIS4TG,001010001001101,True,1.0,-6.0,6.0
21,UDMIS4TG,001010001010101,True,3.0,-6.0,6.0
22,UDMIS4TG,001010001011011,True,1.0,-7.0,7.0
23,UDMIS4TG,001010001101001,True,1.0,-6.0,6.0
24,UDMIS4TG,001010001101010,True,2.0,-6.0,6.0
25,UDMIS4TG,001010001101011,True,1.0,-7.0,7.0
26,UDMIS4TG,001010001101101,False,1.0,9.0,
27,UDMIS4TG,001010001111011,False,1.0,8.0,
28,UDMIS4TG,001010010001001,True,1.0,-5.0,5.0
29,UDMIS4TG,001010010001011,True,1.0,-6.0,6.0
30,UDMIS4TG,001010010011011,True,2.0,-7.0,7.0
31,UDMIS4TG,001010010100001,True,1.0,-5.0,5.0
32,UDMIS4TG,001010010100101,False,1.0,10.0,
33,UDMIS4TG,001010010101001,True,1.0,-6.0,6.0
34,UDMIS4TG,001010010101011,True,1.0,-7.0,7.0
35,UDMIS4TG,001010011011011,False,1.0,8.0,
36,UDMIS4TG,001010011101011,False,1.0,8.0,
37,UDMIS4TG,001010100011011,True,1.0,-7.0,7.0
38,UDMIS4TG,001010100101011,True,1.0,-7.0,7.0
39,UDMIS4TG,001010101001010,True,1.0,-6.0,6.0
40,UDMIS4TG,001010101001101,True,1.0,-7.0,7.0
