,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS4TG,011100010010010,True,1.0,-6.0,6.0
1,UDMIS4TG,000010110011011,True,1.0,-7.0,7.0
2,UDMIS4TG,100010010001101,True,1.0,-6.0,6.0
3,UDMIS4TG,001011000001001,True,1.0,-5.0,5.0
4,UDMIS4TG,000011010000101,True,1.0,-5.0,5.0
5,UDMIS4TG,100010010000100,True,1.0,-4.0,4.0
6,UDMIS4TG,011001000101011,True,1.0,-7.0,7.0
7,UDMIS4TG,010100010101001,True,1.0,-6.0,6.0
8,UDMIS4TG,000100000101001,True,1.0,-4.0,4.0
9,UDMIS4TG,011000000101000,True,1.0,-4.0,4.0
10,UDMIS4TG,101010110000101,True,1.0,-7.0,7.0
11,UDMIS4TG,011000100011011,True,1.0,-7.0,7.0
12,UDMIS4TG,001011001001101,True,1.0,-7.0,7.0
13,UDMIS4TG,110001001011101,True,1.0,-8.0,8.0
14,UDMIS4TG,011000110011101,True,1.0,-8.0,8.0
15,UDMIS4TG,101000100011001,True,1.0,-6.0,6.0
16,UDMIS4TG,101011000010011,True,1.0,-7.0,7.0
17,UDMIS4TG,101000101010010,True,1.0,-6.0,6.0
18,UDMIS4TG,011100000011100,True,2.0,-6.0,6.0
19,UDMIS4TG,100011011100001,False,1.0,9.0,
20,UDMIS4TG,111000100010101,True,1.0,-7.0,7.0
21,UDMIS4TG,011100001011100,True,1.0,-7.0,7.0
22,UDMIS4TG,000110000010101,True,1.0,-5.0,5.0
23,UDMIS4TG,010001001011010,True,1.0,-6.0,6.0
24,UDMIS4TG,010100001011001,True,1.0,-6.0,6.0
25,UDMIS4TG,101011001000011,True,1.0,-7.0,7.0
26,UDMIS4TG,000010110101000,True,1.0,-5.0,5.0
27,UDMIS4TG,001010001011101,True,1.0,-7.0,7.0
28,UDMIS4TG,101011010101001,True,1.0,-8.0,8.0
29,UDMIS4TG,001010100100000,True,1.0,-4.0,4.0
30,UDMIS4TG,101000010001100,True,1.0,-5.0,5.0
31,UDMIS4TG,000000101001101,True,1.0,-5.0,5.0
32,UDMIS4TG,000001001010101,True,1.0,-5.0,5.0
33,UDMIS4TG,110001001011010,True,1.0,-7.0,7.0
34,UDMIS4TG,001010101000101,True,1.0,-6.0,6.0
35,UDMIS4TG,000011000000100,True,1.0,-3.0,3.0
36,UDMIS4TG,101001001000011,True,1.0,-6.0,6.0
37,UDMIS4TG,000110001010011,True,1.0,-6.0,6.0
38,UDMIS4TG,000011010001001,True,1.0,-5.0,5.0
39,UDMIS4TG,101000010000010,True,1.0,-4.0,4.0
40,UDMIS4TG,101000101010101,True,1.0,-7.0,7.0
41,UDMIS4TG,001000110011011,True,1.0,-7.0,7.0
42,UDMIS4TG,000010110011101,True,1.0,-7.0,7.0
43,UDMIS4TG,010001010000010,True,1.0,-4.0,4.0
44,UDMIS4TG,101010100010001,True,1.0,-6.0,6.0
45,UDMIS4TG,001011010100000,True,1.0,-5.0,5.0
46,UDMIS4TG,101000110010011,True,1.0,-7.0,7.0
47,UDMIS4TG,001001010001011,True,1.0,-6.0,6.0
48,UDMIS4TG,001011001011101,True,1.0,-8.0,8.0
49,UDMIS4TG,101011000001101,True,1.0,-7.0,7.0
50,UDMIS4TG,011100001100010,True,1.0,-6.0,6.0
51,UDMIS4TG,111001000010010,True,1.0,-6.0,6.0
52,UDMIS4TG,101010000100011,True,1.0,-6.0,6.0
53,UDMIS4TG,001100010011000,True,1.0,-5.0,5.0
54,UDMIS4TG,001111101100010,False,1.0,40.0,
55,UDMIS4TG,101010001011011,True,1.0,-8.0,8.0
56,UDMIS4TG,001010001000011,True,1.0,-5.0,5.0
57,UDMIS4TG,010100010010101,True,1.0,-6.0,6.0
58,UDMIS4TG,110000100101001,True,1.0,-6.0,6.0
59,UDMIS4TG,100011011010101,False,1.0,8.0,
60,UDMIS4TG,100010000011010,True,1.0,-5.0,5.0
61,UDMIS4TG,000000100011011,True,1.0,-5.0,5.0
62,UDMIS4TG,000010110100011,True,1.0,-6.0,6.0
63,UDMIS4TG,011000101001101,True,1.0,-7.0,7.0
64,UDMIS4TG,011100001001101,True,1.0,-7.0,7.0
65,UDMIS4TG,100010000011100,True,1.0,-5.0,5.0
66,UDMIS4TG,101010001010000,True,1.0,-5.0,5.0
67,UDMIS4TG,110101110011011,False,1.0,54.0,
68,UDMIS4TG,000110010011101,True,1.0,-7.0,7.0
69,UDMIS4TG,001100001010010,True,1.0,-5.0,5.0
70,UDMIS4TG,001110010001000,True,2.0,-5.0,5.0
71,UDMIS4TG,100000001101000,True,1.0,-4.0,4.0
72,UDMIS4TG,011001010101011,True,3.0,-8.0,8.0
73,UDMIS4TG,000011001101001,True,2.0,-6.0,6.0
74,UDMIS4TG,110001010011100,True,1.0,-7.0,7.0
75,UDMIS4TG,001001000001100,True,1.0,-4.0,4.0
76,UDMIS4TG,010000100001011,True,1.0,-5.0,5.0
77,UDMIS4TG,001110010011100,True,2.0,-7.0,7.0
78,UDMIS4TG,101000110011101,True,1.0,-8.0,8.0
79,UDMIS4TG,111001000011101,True,1.0,-8.0,8.0
80,UDMIS4TG,111001001101011,True,1.0,-9.0,9.0
81,UDMIS4TG,100010101011100,True,1.0,-7.0,7.0
82,UDMIS4TG,100011001010101,True,1.0,-7.0,7.0
83,UDMIS4TG,000010010101010,True,2.0,-5.0,5.0
84,UDMIS4TG,010000101011000,True,1.0,-5.0,5.0
85,UDMIS4TG,000011010010001,True,1.0,-5.0,5.0
86,UDMIS4TG,111001000001100,True,1.0,-6.0,6.0
87,UDMIS4TG,011000100011101,True,2.0,-7.0,7.0
88,UDMIS4TG,101000110101001,True,2.0,-7.0,7.0
89,UDMIS4TG,000110000011011,True,1.0,-6.0,6.0
90,UDMIS4TG,011000101011010,True,1.0,-7.0,7.0
91,UDMIS4TG,111000001101001,True,2.0,-7.0,7.0
92,UDMIS4TG,101010010101001,True,2.0,-7.0,7.0
93,UDMIS4TG,011000101000100,True,1.0,-5.0,5.0
94,UDMIS4TG,001110000011001,True,1.0,-6.0,6.0
95,UDMIS4TG,111001010100010,True,2.0,-7.0,7.0
96,UDMIS4TG,111000001101011,True,1.0,-8.0,8.0
97,UDMIS4TG,001011001011011,True,1.0,-8.0,8.0
98,UDMIS4TG,111001000000011,True,1.0,-6.0,6.0
99,UDMIS4TG,101011001000100,True,1.0,-6.0,6.0
100,UDMIS4TG,111000001010101,True,2.0,-7.0,7.0
101,UDMIS4TG,110000010100011,True,1.0,-6.0,6.0
102,UDMIS4TG,111000100010100,True,1.0,-6.0,6.0
103,UDMIS4TG,111000101000001,True,1.0,-6.0,6.0
104,UDMIS4TG,000110000100000,True,1.0,-3.0,3.0
105,UDMIS4TG,011001001011100,True,1.0,-7.0,7.0
106,UDMIS4TG,001001001101001,True,2.0,-6.0,6.0
107,UDMIS4TG,111011001100011,False,1.0,7.0,
108,UDMIS4TG,100010001010011,True,1.0,-6.0,6.0
109,UDMIS4TG,100011001100001,True,1.0,-6.0,6.0
110,UDMIS4TG,010100000100011,True,1.0,-5.0,5.0
111,UDMIS4TG,101001010101000,True,2.0,-6.0,6.0
112,UDMIS4TG,001000110101011,True,2.0,-7.0,7.0
113,UDMIS4TG,110000001011001,True,1.0,-6.0,6.0
114,UDMIS4TG,001010110011100,True,1.0,-7.0,7.0
115,UDMIS4TG,000110000001011,True,1.0,-5.0,5.0
116,UDMIS4TG,100000100011101,True,1.0,-6.0,6.0
117,UDMIS4TG,001010110101010,True,1.0,-7.0,7.0
118,UDMIS4TG,001000110000000,True,1.0,-3.0,3.0
119,UDMIS4TG,000010101011101,True,1.0,-7.0,7.0
120,UDMIS4TG,101011001101010,True,1.0,-8.0,8.0
121,UDMIS4TG,101010001101000,True,1.0,-6.0,6.0
122,UDMIS4TG,100011001100010,True,1.0,-6.0,6.0
123,UDMIS4TG,100000101101011,True,1.0,-7.0,7.0
124,UDMIS4TG,000001010011010,True,1.0,-5.0,5.0
125,UDMIS4TG,111000001011000,True,1.0,-6.0,6.0
126,UDMIS4TG,001100000101011,True,1.0,-6.0,6.0
127,UDMIS4TG,001011010101011,True,2.0,-8.0,8.0
128,UDMIS4TG,001011010010101,True,2.0,-7.0,7.0
129,UDMIS4TG,100001001010101,True,1.0,-6.0,6.0
130,UDMIS4TG,001011001010011,True,1.0,-7.0,7.0
131,UDMIS4TG,111000110101010,True,2.0,-8.0,8.0
