,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS7TG,111100000000010010001110011001,True,1.0,-12.0,12.0
1,UDMIS7TG,110001010000000010001001111101,True,1.0,-12.0,12.0
2,UDMIS7TG,100000011001010000001111000000,False,1.0,22.0,
3,UDMIS7TG,110101101100000000001000111010,True,1.0,-12.0,12.0
4,UDMIS7TG,000100100000110000000100110001,True,1.0,-8.0,8.0
5,UDMIS7TG,111011110001010001000010111001,True,1.0,-15.0,15.0
6,UDMIS7TG,111000101000010000001011110000,True,1.0,-11.0,11.0
7,UDMIS7TG,010101001101010000000100101000,True,1.0,-10.0,10.0
8,UDMIS7TG,111001100100000000000011100000,True,1.0,-9.0,9.0
9,UDMIS7TG,100100101101110010001011111101,True,1.0,-17.0,17.0
10,UDMIS7TG,111000100000010000001110010000,True,1.0,-9.0,9.0
11,UDMIS7TG,111101000001110000000100001100,True,1.0,-11.0,11.0
12,UDMIS7TG,100010101001000000010010001100,True,1.0,-9.0,9.0
13,UDMIS7TG,011100110000000000010100101101,True,1.0,-11.0,11.0
14,UDMIS7TG,111011111000100010000110011101,True,1.0,-16.0,16.0
15,UDMIS7TG,111101000001000011000110101101,True,1.0,-14.0,14.0
16,UDMIS7TG,100011110010010001000100010001,True,1.0,-11.0,11.0
17,UDMIS7TG,111001110010100000000000111001,True,1.0,-12.0,12.0
18,UDMIS7TG,101101111000010010101100110000,True,1.0,-14.0,14.0
19,UDMIS7TG,111011100101110010101000111100,True,1.0,-17.0,17.0
20,UDMIS7TG,001001000001011000001100011001,True,1.0,-10.0,10.0
21,UDMIS7TG,101010100000010110001010111000,True,1.0,-12.0,12.0
22,UDMIS7TG,111011110000100001001010000101,True,1.0,-13.0,13.0
23,UDMIS7TG,111010010000001000001010101000,True,1.0,-10.0,10.0
24,UDMIS7TG,010000000100110011110000100000,False,1.0,53.0,
25,UDMIS7TG,011000001100000000100000101001,True,1.0,-8.0,8.0
26,UDMIS7TG,110101100100000010001001111010,True,1.0,-13.0,13.0
27,UDMIS7TG,111101000000010000001100010010,True,1.0,-10.0,10.0
28,UDMIS7TG,101100100101110011100000011000,True,1.0,-13.0,13.0
29,UDMIS7TG,111010100001010000000000110100,True,1.0,-10.0,10.0
30,UDMIS7TG,111100000001110001101000011000,True,1.0,-12.0,12.0
31,UDMIS7TG,101001000110000100100000111101,True,1.0,-12.0,12.0
32,UDMIS7TG,110010010010000001001000110100,True,1.0,-10.0,10.0
33,UDMIS7TG,101011110001010000011011001010,True,1.0,-14.0,14.0
34,UDMIS7TG,011010100100010001001100001101,True,1.0,-12.0,12.0
35,UDMIS7TG,000101100100010000000001101000,True,1.0,-8.0,8.0
36,UDMIS7TG,100010111000010010001100100010,True,1.0,-11.0,11.0
37,UDMIS7TG,010000110000000000000010111001,True,1.0,-8.0,8.0
38,UDMIS7TG,101100100100010000000110111000,True,1.0,-11.0,11.0
39,UDMIS7TG,011011101101010001000000001010,True,1.0,-12.0,12.0
40,UDMIS7TG,011011100000010000001001100100,True,1.0,-10.0,10.0
41,UDMIS7TG,101001101101010000000100110000,True,1.0,-11.0,11.0
42,UDMIS7TG,001011110000110010001001111001,True,1.0,-14.0,14.0
43,UDMIS7TG,100101101000010010000100100000,True,1.0,-9.0,9.0
44,UDMIS7TG,011001001001010011101000000000,True,1.0,-10.0,10.0
45,UDMIS7TG,111100011000010110100000111100,True,1.0,-14.0,14.0
46,UDMIS7TG,100011000100100010001001000000,True,1.0,-8.0,8.0
47,UDMIS7TG,001000101001000000001110010000,True,1.0,-8.0,8.0
48,UDMIS7TG,111101100000110001001010010000,True,1.0,-12.0,12.0
49,UDMIS7TG,010100010000100000001001001000,True,1.0,-7.0,7.0
50,UDMIS7TG,001001100101010000000010001000,True,1.0,-8.0,8.0
51,UDMIS7TG,110011000100010000010010001000,True,1.0,-9.0,9.0
52,UDMIS7TG,111011110001110001011000101000,True,1.0,-15.0,15.0
53,UDMIS7TG,110001001100110000000000001010,True,1.0,-9.0,9.0
54,UDMIS7TG,111100110101000001001011101001,False,1.0,16.0,
55,UDMIS7TG,011011110100010001100000111001,False,1.0,17.0,
56,UDMIS7TG,010001100000000011001001110000,True,1.0,-9.0,9.0
57,UDMIS7TG,110001100110110011000000011100,True,1.0,-13.0,13.0
58,UDMIS7TG,101101100100110010000110111101,True,1.0,-16.0,16.0
59,UDMIS7TG,010010100101110000000001000000,True,1.0,-8.0,8.0
60,UDMIS7TG,111101000100110000001100101000,True,1.0,-12.0,12.0
61,UDMIS7TG,100010001011010000001001111001,False,1.0,50.0,
62,UDMIS7TG,101001101100100000000110001001,True,1.0,-11.0,11.0
63,UDMIS7TG,010011111000000100001000100010,True,1.0,-10.0,10.0
64,UDMIS7TG,111001001001110001100001100000,True,1.0,-12.0,12.0
65,UDMIS7TG,111001110000011000001110111000,True,1.0,-14.0,14.0
66,UDMIS7TG,111100101100110000000110100000,True,1.0,-12.0,12.0
67,UDMIS7TG,111100000100000010000100101100,True,1.0,-10.0,10.0
68,UDMIS7TG,000000101100000001100000010000,True,1.0,-6.0,6.0
69,UDMIS7TG,101010101100100100000000011000,True,1.0,-10.0,10.0
70,UDMIS7TG,110101100001100100001000011000,True,1.0,-11.0,11.0
71,UDMIS7TG,101100010001010100001000101001,True,1.0,-11.0,11.0
72,UDMIS7TG,111001100100011000011001001001,True,1.0,-13.0,13.0
73,UDMIS7TG,001011010001110010001010110100,True,1.0,-13.0,13.0
74,UDMIS7TG,000011001001011001000101010100,False,1.0,20.0,
75,UDMIS7TG,011001011000100010001000111010,True,1.0,-12.0,12.0
76,UDMIS7TG,111101101100000011001000101001,True,1.0,-14.0,14.0
77,UDMIS7TG,110001100001110011001001101000,True,1.0,-13.0,13.0
78,UDMIS7TG,110011010001011010001100011000,True,1.0,-13.0,13.0
79,UDMIS7TG,010100110001000000000100101100,True,1.0,-9.0,9.0
80,UDMIS7TG,001000100010000000001010011000,True,1.0,-7.0,7.0
81,UDMIS7TG,001011001101010000001001001001,True,1.0,-11.0,11.0
82,UDMIS7TG,111101101001110000000001111000,True,1.0,-14.0,14.0
83,UDMIS7TG,000011010001100100000010110101,True,1.0,-11.0,11.0
84,UDMIS7TG,100100100001010000001000111000,True,1.0,-9.0,9.0
85,UDMIS7TG,100101111000010011001011111001,True,1.0,-16.0,16.0
86,UDMIS7TG,011010100000110001001000101101,True,1.0,-12.0,12.0
87,UDMIS7TG,110011100001010000011000111010,True,1.0,-13.0,13.0
88,UDMIS7TG,101100001101010001000010111100,True,1.0,-13.0,13.0
89,UDMIS7TG,110001001001001000000100111100,True,1.0,-11.0,11.0
90,UDMIS7TG,111001101100010001001110110100,True,1.0,-15.0,15.0
91,UDMIS7TG,011001000001110100111010001100,False,1.0,49.0,
92,UDMIS7TG,101000001001010011001100111000,True,1.0,-12.0,12.0
93,UDMIS7TG,110000100000010000001011101100,True,1.0,-10.0,10.0
94,UDMIS7TG,111100111001110000101100101100,True,1.0,-16.0,16.0
95,UDMIS7TG,011010110000110010001100101010,True,1.0,-13.0,13.0
96,UDMIS7TG,001001011000010011001111111000,False,1.0,17.0,
97,UDMIS7TG,000100010000110000001000000100,True,1.0,-6.0,6.0
98,UDMIS7TG,001000010000000010100000010001,True,1.0,-6.0,6.0
99,UDMIS7TG,100000000000110000001000100100,True,1.0,-6.0,6.0
100,UDMIS7TG,110001110000010000101100110101,True,1.0,-13.0,13.0
101,UDMIS7TG,101100010000010000000100010000,True,1.0,-7.0,7.0
102,UDMIS7TG,000101111000010000000100001000,True,1.0,-8.0,8.0
103,UDMIS7TG,101001110000000000011100100000,True,1.0,-9.0,9.0
104,UDMIS7TG,111000100100011000001010111010,True,1.0,-13.0,13.0
105,UDMIS7TG,111100100100000110000011110000,True,1.0,-12.0,12.0
106,UDMIS7TG,001001001101010000100001001010,True,1.0,-10.0,10.0
107,UDMIS7TG,111011100100010001000000110100,True,1.0,-12.0,12.0
