logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
DWave,TSP119,TSP,25,2,0
DWave,MWC96,MWC,55,1,0
DWave,MWC17,MWC,55,1,0
DWave,TSP172,TSP,36,1,0
DWave,TSP177,TSP,121,0,1
DWave,MWC34,MWC,115,0,1
DWave,UDMIS076EXT,UDMIS,25,3,0
DWave,MWC99,MWC,65,1,0
DWave,UDMIS045EXT,UDMIS,30,3,0
DWave,UDMIS014EXT,UDMIS,40,2,0
DWave,TSP70,TSP,64,1,0
DWave,TSP158,TSP,25,2,0
DWave,TSP54,TSP,25,2,0
DWave,UDMIS004EXT,UDMIS,25,3,0
DWave,UDMIS031EXT,UDMIS,100,3,0
DWave,MWC30,MWC,95,1,0
DWave,MWC83,MWC,15,2,0
DWave,MWC315,MWC,5,2,0
DWave,MWC187,MWC,105,0,1
DWave,MWC110,MWC,105,0,1
DWave,MWC239,MWC,15,2,0
DWave,UDMIS090EXT,UDMIS,49,3,0
DWave,UDMIS018EXT,UDMIS,49,3,0
DWave,TSP18,TSP,64,1,0
DWave,UDMIS102EXT,UDMIS,90,3,0
DWave,MWC263,MWC,95,1,0
DWave,UDMIS108EXT,UDMIS,120,2,1
DWave,UDMIS107EXT,UDMIS,120,2,1
DWave,TSP118,TSP,16,2,0
DWave,TSP81,TSP,36,1,0
DWave,MWC348,MWC,115,0,1
DWave,TSP86,TSP,121,0,1
DWave,MWC114,MWC,115,0,1
DWave,TSP110,TSP,81,1,0
DWave,UDMIS052EXT,UDMIS,49,3,0
DWave,MWC81,MWC,5,2,0
DWave,UDMIS085EXT,UDMIS,40,3,0
DWave,MWC243,MWC,25,2,0
DWave,MWC88,MWC,35,2,0
DWave,UDMIS062EXT,UDMIS,80,3,0
DWave,MWC163,MWC,25,2,0
DWave,TSP61,TSP,144,0,1
DWave,TSP92,TSP,16,2,0
DWave,MWC9,MWC,25,2,0
DWave,MWC3,MWC,5,2,0
DWave,TSP57,TSP,64,1,0
DWave,MWC249,MWC,45,1,0
DWave,UDMIS070EXT,UDMIS,120,2,1
DWave,MWC13,MWC,45,1,0
DWave,UDMIS080EXT,UDMIS,30,3,0
