logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,success,sol_time,obj_from_QPU_sol,classic_solver,classic_solver_params,backend_name,sampler_shots,est_shots
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0001.json,1698434478.649422,1698435262.642524,MWC157,MWC,5,True,783.9931020736694,9.780941902881452,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0002.json,1699912913.288144,1699913178.069659,MWC158,MWC,5,True,264.7815148830414,7.310160973629428,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0003.json,1699913178.085375,1699913432.901537,MWC159,MWC,5,True,254.8161618709564,29.302168509342494,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0034.json,1699920984.380304,1699921299.878263,MWC160,MWC,15,True,315.4979588985443,76.16447280184849,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0035.json,1699921299.909498,1699921651.219793,MWC161,MWC,15,True,351.31029510498047,149.86197406534023,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0036.json,1699921651.235364,1699922041.892309,MWC162,MWC,15,True,390.6569449901581,211.42653947603156,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0081.json,1699937393.025264,1699938779.522276,MWC163,MWC,25,True,1386.497011899948,101.2603546480656,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0082.json,1699938779.553468,1699940347.178445,MWC164,MWC,25,True,1567.6249771118164,161.61388061822956,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0083.json,1699940347.209656,1699942296.212534,MWC165,MWC,25,True,1949.0028779506683,440.4657314426928,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0004.json,1699913432.91708,1699913695.917148,MWC2,MWC,5,True,263.0000681877136,30.93404982540803,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0005.json,1699913695.932714,1699913965.542076,MWC235,MWC,5,True,269.6093621253968,13.01019223786892,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0006.json,1699913965.542076,1699914236.127253,MWC236,MWC,5,True,270.58517694473267,12.625888422209464,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0007.json,1699914236.142817,1699914563.852353,MWC237,MWC,5,True,327.70953607559204,34.02629711825045,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0037.json,1699922041.923681,1699922358.174213,MWC238,MWC,15,True,316.25053191185,84.3084248525685,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0038.json,1699922358.189955,1699922730.96501,MWC239,MWC,15,True,372.7750549316406,98.83698287740924,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0039.json,1699922731.011876,1699923129.823854,MWC240,MWC,15,True,398.81197786331177,170.35742667839634,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0084.json,1699942296.244804,1699943565.858168,MWC241,MWC,25,True,1269.613363981247,33.968191220108444,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0085.json,1699943565.871474,1699945116.298304,MWC242,MWC,25,True,1550.4268300533297,120.78475128869025,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0086.json,1699945116.313873,1699947101.788427,MWC243,MWC,25,True,1985.4745540618896,634.0213206479388,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0008.json,1699914563.868023,1699914881.381196,MWC3,MWC,5,True,317.5131731033325,21.25537228510108,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0009.json,1699914881.396749,1699915230.461772,MWC313,MWC,5,True,349.06502294540405,3.175365869134671,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0010.json,1698441079.528865,1698441913.651819,MWC314,MWC,5,True,834.1229538917542,8.978402302924028,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0011.json,1698441913.667447,1698442772.093719,MWC315,MWC,5,True,858.4262719154358,11.581070492622846,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0040.json,1699923129.839426,1699923401.316835,MWC316,MWC,15,True,271.4774088859558,31.93963712642312,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0041.json,1699923401.332408,1699923754.234266,MWC317,MWC,15,True,352.9018580913544,161.1192726860416,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0042.json,1699923754.243815,1699924133.419707,MWC318,MWC,15,True,379.1758921146393,215.48824092981616,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
