logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,success,sol_time,obj_from_QPU_sol,classic_solver,classic_solver_params,backend_name,sampler_shots,est_shots
./run_logs/ibm-sim/sim-bobyqa1000-150iter-udmisext_ibmq_qasm_simulator_2.0.2_1700860886.551061_0000.json,1700860886.551061,1700861752.032452,UDMIS001EXT,UDMIS,15,True,865.4813911914825,5,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim-bobyqa1000-150iter-udmisext_ibmq_qasm_simulator_2.0.2_1700860886.551061_0043.json,1701276745.158122,1701280357.050158,UDMIS086EXT,UDMIS,40,False,3611.892035961151,,,,,,
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0086.json,1699945116.313873,1699947101.788427,MWC243,MWC,25,True,1985.4745540618896,634.0213206479388,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0108.json,1699969910.919999,1699971840.531033,TSP67,TSP,25,True,1929.611034154892,779.0,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0075.json,1698509157.503122,1698510493.34745,TSP66,TSP,16,True,1335.8443279266357,636.0,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0037.json,1699922041.923681,1699922358.174213,MWC238,MWC,15,True,316.25053191185,84.3084248525685,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim-bobyqa1000-150iter-udmisext_ibmq_qasm_simulator_2.0.2_1700860886.551061_0004.json,1700863613.420036,1700864256.785148,UDMIS038EXT,UDMIS,15,True,643.3651118278503,4,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_tg_ibmq_qasm_simulator_2.0.1_1698871363.954475_0001.json,1698872386.676386,1698873519.210832,UDMIS2TG,UDMIS,15,True,1132.5344460010529,7,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0075.json,1699934928.527879,1699935318.721545,TSP27,TSP,16,True,390.1936659812927,41632,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0098.json,1698612024.432105,1698617066.834093,TSP158,TSP,25,True,5042.40198802948,7364.0,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
